Stephen Curry, Golden State Warriors, Point Guard, 30, California,
Luka Doncic, Dallas Mavericks, Point Guard, 77, Texas,
LeBron James, Los Angeles Lakers, Small Forward, 6, California,
Russell Westbrook, Los Angeles Clippers, Point Guard, 0, California,
Kevin Durant, Phoenix Suns, Small Forward, 35, Arizona,
Giannis Antetokounmpo, Milwaukee Bucks, Power Forward, 34, Wisconsin,
Nikola Jokic, Denver Nuggets, Center, 15, Colorado,
Joel Embiid, Philadelphia 76ers, Center, 21, Pennsylvania,
Kawhi Leonard,Los Angeles Clippers,Small Forward,2,California,
Jayson Tatum,Boston Celtics,Small Forward,0,Massachusetts, 
Ja Morant,Memphis Grizzlies,Point Guard,12,Tennessee,
Chris Paul,Phoenix Suns,Point Guard,3,Arizona,
Devin Booker,Phoenix Suns,Shooting Guard,1,Arizona,
Trae Young,Atlanta Hawks,Point Guard,1,Georgia,
Paul George,Los Angeles Clippers,Small Forward,13,California,
Jimmy Butler,Miami Heat,Small Forward,22,Florida,
Damian Lillard,Portland Trail Blazers,Point Guard,0,Oregon,
Jaylen Brown,Boston Celtics,Small Forward,7,Massachusetts,
Karl-Anthony Towns,Minnesota Timberwolves,Center,32,Minnesota,
Anthony Davis,Los Angeles Lakers,Power Forward,3,California,
Pascal Siakam,Toronto Raptors,Power Forward,43,Ontario,
Donovan Mitchell,Cleveland Cavaliers,Point Guard,45,Ohio,
Rudy Gobert,Utah Jazz,Center,27,Utah
LaMelo Ball,Charlotte Hornets,Point Guard,3,North Carolina,
Nikola Vucevic,Chicago Bulls,Center,9,Illinois,
DeMar DeRozan,Chicago Bulls,Shooting Guard,2,Illinois,
Zion Williamson,New Orleans Pelicans,Power Forward,1,Louisiana,
Ben Simmons,Brooklyn Nets,Point Guard/Power Forward,25,New York,
